"","PeriodYear","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","helpers","GenContSire","FSL","FDL","FFL","RainWindow","RainVar","DamRainVar","Sex","LayYear","survival","PeriodStart","PeriodEnd","age","dam","sire","dam_age","sire_age","Dam_RainWindow","yearlytq_corr","yearlytq","helpers_cat","offspring","MeanAgeParent","DeltaAgeParent","lifespan","GroupSize","HelpersF","GenContF2","GenContD2","GenContS2","Focal_RainVarBlood","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar"
"1",1996,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.555332295131114,0.806786427266539,-0.70431516659154,174.444444444444,20001.5181268785,14812.2455905512,"0",1994,0,1996.1,1996.9,-1.44391591730546,"64","178",1.00655978695122,5.68684781795059,143.744444444444,24390.5184,24390.5184,"0",2,8,-6,0.71314539207819,-0.906845266105482,-0.52640987083009,0.0412596809841281,0.0420771932261958,0.0718161488383224,0.382157687608628,-1.02863437770506,-3.16824941367568,-2.6336459140346,0.00242352139759979,-1.2064795733791,-0.982028531759832,-1.05873776811569
"2",1996,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.395144327319838,0.39510369526599,0.018933853175231,147.077777777778,4024.47243589744,10218.1173719975,"0",1994,0,1996.1,1996.9,-1.44391591730546,"163","510",0.819365462722974,0.931506849315156,121.988888888889,94645.31274,94645.31274,"0",1,4.5,-2.5,-0.834183954980409,0.317984703699325,-0.52640987083009,0.0763970455133171,0.05079984604192,0.0517181356219961,-1.1349243953178,0.86931938415692,-2.97986195507316,-2.96194677325342,0.848528078508346,0.787236280979401,-1.14729722844673,-1.089336689957
"3",1996,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.395144327319838,0.39510369526599,0.018933853175231,147.077777777778,4024.47243589744,10218.1173719975,"0",1994,0,1996.1,1996.9,-1.44391591730546,"163","510",0.819365462722974,0.931506849315156,121.988888888889,94645.31274,94645.31274,"0",1,4.5,-2.5,-0.834183954980409,0.317984703699325,-0.52640987083009,0.0763970455133171,0.05079984604192,0.0517181356219961,-1.1349243953178,0.86931938415692,-2.97986195507316,-2.96194677325342,0.848528078508346,0.787236280979401,-1.14729722844673,-1.089336689957
"4",1997,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.555332295131114,0.806786427266539,-0.70431516659154,174.444444444444,20001.5181268785,14812.2455905512,"0",1994,0,1997.1,1997.9,-1.14225409448552,"64","178",1.00655978695122,5.68684781795059,143.744444444444,41262.53298,41262.53298,"0",1,8,-5,0.71314539207819,-0.906845266105482,-0.52640987083009,0.0412596809841281,0.0420771932261958,0.0718161488383224,0.382157687608628,-1.02863437770506,-3.16824941367568,-2.6336459140346,0.00242352139759979,-1.2064795733791,-0.982028531759832,-1.05873776811569
"5",1997,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.555332295131114,0.806786427266539,-0.70431516659154,174.444444444444,20001.5181268785,14812.2455905512,"0",1994,0,1997.1,1997.9,-1.14225409448552,"64","178",1.00655978695122,5.68684781795059,143.744444444444,41262.53298,41262.53298,"0",1,8,-5,0.71314539207819,-0.906845266105482,-0.52640987083009,0.0412596809841281,0.0420771932261958,0.0718161488383224,0.382157687608628,-1.02863437770506,-3.16824941367568,-2.6336459140346,0.00242352139759979,-1.2064795733791,-0.982028531759832,-1.05873776811569
"6",1997,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.395144327319838,0.39510369526599,0.018933853175231,147.077777777778,4024.47243589744,10218.1173719975,"0",1994,0,1997.1,1997.9,-1.14225409448552,"163","510",0.819365462722974,0.931506849315156,121.988888888889,60791.90629,60791.90629,"0",0,4.5,-1.5,-0.834183954980409,0.317984703699325,-0.52640987083009,0.0763970455133171,0.05079984604192,0.0517181356219961,-1.1349243953178,0.86931938415692,-2.97986195507316,-2.96194677325342,0.848528078508346,0.787236280979401,-1.14729722844673,-1.089336689957
"7",1997,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.395144327319838,0.39510369526599,0.018933853175231,147.077777777778,4024.47243589744,10218.1173719975,"0",1994,0,1997.1,1997.9,-1.14225409448552,"163","510",0.819365462722974,0.931506849315156,121.988888888889,60791.90629,60791.90629,"0",0,4.5,-1.5,-0.834183954980409,0.317984703699325,-0.52640987083009,0.0763970455133171,0.05079984604192,0.0517181356219961,-1.1349243953178,0.86931938415692,-2.97986195507316,-2.96194677325342,0.848528078508346,0.787236280979401,-1.14729722844673,-1.089336689957
"8",1998,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.555332295131114,0.806786427266539,-0.70431516659154,174.444444444444,20001.5181268785,14812.2455905512,"0",1994,0,1998.1,1998.9,-0.840592271665572,"64","178",1.00655978695122,5.68684781795059,143.744444444444,45778.522925,45778.522925,"0",1,8,-4,0.71314539207819,-0.906845266105482,-0.52640987083009,0.0412596809841281,0.0420771932261958,0.0718161488383224,0.382157687608628,-1.02863437770506,-3.16824941367568,-2.6336459140346,0.00242352139759979,-1.2064795733791,-0.982028531759832,-1.05873776811569
"9",1998,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.555332295131114,0.806786427266539,-0.70431516659154,174.444444444444,20001.5181268785,14812.2455905512,"0",1994,0,1998.1,1998.9,-0.840592271665572,"64","178",1.00655978695122,5.68684781795059,143.744444444444,45778.522925,45778.522925,"0",1,8,-4,0.71314539207819,-0.906845266105482,-0.52640987083009,0.0412596809841281,0.0420771932261958,0.0718161488383224,0.382157687608628,-1.02863437770506,-3.16824941367568,-2.6336459140346,0.00242352139759979,-1.2064795733791,-0.982028531759832,-1.05873776811569
"10",1998,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.395144327319838,0.39510369526599,0.018933853175231,147.077777777778,4024.47243589744,10218.1173719975,"0",1994,0,1998.1,1998.9,-0.840592271665572,"163","510",0.819365462722974,0.931506849315156,121.988888888889,100238.069095,100238.069095,"0",0,4.5,-0.5,-0.834183954980409,0.317984703699325,-0.52640987083009,0.0763970455133171,0.05079984604192,0.0517181356219961,-1.1349243953178,0.86931938415692,-2.97986195507316,-2.96194677325342,0.848528078508346,0.787236280979401,-1.14729722844673,-1.089336689957
