"","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","GenContSire","FFL","helpers","FDL","FSL","RainVar","offspring","dam_age","Sex","LayYear","dam","sire","lifespan","Rel_fit","helpers_cat","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar"
"1","912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0.0718161488383224,-0.704308654493367,0,0.610365483167499,-0.671091201738979,0.583402380021287,13,0.760442962309816,"0",1994,"64","178",5222,3.34204793028322,"0",-0.974312487402184,-3.16824941367568,-2.6336459140346,-0.0402231445243942,-1.40701403078984,-0.980315787533932,-0.998944540906731
"2","929",0.00723249842791247,-0.00722793763477374,0.0414373503007668,0.0342048518728543,0.0486652879355406,-0.256721199549864,0,-0.134527309379213,-0.647147772828542,0.74164452241557,5,1.03265923770844,"1",1994,"199","609",4203,1.28540305010893,"0",-0.960305642484985,-3.37538777734852,-3.02278927643485,0.428074554007564,-0.466705174262833,-1.15393625307425,-0.982934063505501
"3","938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0.0517181356219961,-0.0482273546911221,0,0.253846885846984,-0.489420320341444,-1.03403379789371,5,0.566651479139009,"0",1994,"163","510",2597,1.28540305010893,"0",1.03389656450851,-2.97986195507316,-2.96194677325342,0.907004212424966,0.849972260877246,-1.15393625307425,-1.02946116792027
"4","1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0.0466644499623525,-0.185454015612863,0,-1.33623409026485,-1.04984743889186,0.37901548502648,11,-1.33364801269545,"0",1996,"1043","559",7748,2.82788671023965,"0",1.2984710833271,-3.08097423269622,-3.06477264697587,1.31071806363047,1.28970068099958,-1.41055357498891,-0.627343169948008
"5","1045",0.00958098919677781,-0.00787082923505365,0.0595945795508133,0.0500135903540355,0.067465408785867,1.16174717491438,0,1.63416713860711,-0.44856697376015,1.71631797942263,3,-0.585349407183832,"1",1996,"503","470",1830,0.77124183006536,"0",0.224236498455599,-2.99546050340613,-2.696140274889,0.391429154662428,-0.378914629358422,-1.087874522098,-1.32035527412167
"6","1156",0.0101214172180495,0.016656859663135,0.0668976801562357,0.0567762629381862,0.0502408204931007,1.44385042775882,1,-0.541739207982967,-0.145519248888634,-0.749226187100835,2,-0.272894346436164,"1",1996,"454","216",2279,0.514161220043573,"1",0.601064986949699,-2.86863694661994,-2.9909274254846,0.366569904761338,0.60189597029075,-1.14110747994837,-1.01790302425758
"7","1179",0.000705126723264032,0.0362936187607813,0.0896354395071466,0.0889303127838826,0.0533418207463652,-0.0657938804731414,1,-0.420519427660399,0.371474472726461,-0.40077539117503,1,1.31081477729757,"1",1997,"297","836",1200,0.257080610021787,"1",1.5548300289357,-2.4199022183848,-2.93103462608334,0.0207247024425362,1.15802599222944,-1.6788853411691,-1.07659952154208
"8","1186",0.00410773806143091,-0.0203194637032692,0.0531998862978691,0.0490921482364382,0.0735193500011383,-0.202397200095639,0,-0.19758762613139,0.782834515761241,1.03168330691737,5,-0.593252198606715,"0",1996,"604","603",2269,1.28540305010893,"0",-0.145774817980488,-3.01405617068739,-2.61020664208997,0.181211611787232,-0.855574248033917,-1.41055357498891,-1.32035527412167
"9","1279",0.031876751789991,0.030424000182615,0.0758966351679445,0.0440198833779534,0.0454726349853294,-1.1385417491569,0,-0.83052635861921,-0.712651188142774,1.45728475427617,2,-0.365047601792886,"1",1996,"522","1174",1252,0.514161220043573,"0",1.01247441238933,-3.12311385218416,-3.09064456285,1.20973063281003,1.1418495440591,-1.79282808731554,-1.40174404191168
"10","1305",-0.007619151656277,-0.0240739648231035,0.0413510892983211,0.0489702409545981,0.0654250541214246,1.14850617564839,0,-0.657445504975193,-0.0218252895574742,-0.257755176262904,3,-1.19997670424736,"0",1998,"1177","854",4126,0.77124183006536,"0",-0.967098650080498,-3.01654249282672,-2.72685000333777,-0.371330027665033,-1.17897044507564,0.192762666947119,2.70114292825479
