"","PeriodYear","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","helpers","GenContSire","FSL","FDL","FFL","RainWindow","RainVar","DamRainVar","Sex","LayYear","survival","PeriodStart","PeriodEnd","age","dam","sire","dam_age","sire_age","Dam_RainWindow","yearlytq_corr","yearlytq","helpers_cat","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar"
"1",1995,"526",0.0148468571274348,0.0046904992851919,0.0765066481235143,0.0616597909960794,0,0.0718161488383224,-0.623312868113173,-0.357324301985704,2.15154213215468,0.203681436099713,-0.905027233327053,17752.9088798701,"1",1994,0,1995.1,1995.9,1,"528","178",-1.42773007452224,0.154445427021912,-1.66148393743936,NA,NA,"0",0.979402945824968,-2.78612324614909,-2.6336459140346,0.458720067034128,0.0735788728880859,-1.04446578785628,-1.12337929408137
"2",1995,"527",0.0148567454646017,-0.0148822101475249,0.0569339386907975,0.0420771932261958,0,0.0718161488383224,-0.623312868113173,0.628859201249281,-0.790831052131384,0.203681436099713,-0.905027233327053,14812.2455905512,"0",1994,0,1995.1,1995.9,1,"64","178",0.81695841564743,0.154445427021912,-0.19205603119725,NA,NA,"0",0.0420639429384943,-3.16824941367568,-2.6336459140346,0.652241229303578,-0.626193483431251,-1.04446578785628,-1.12732827703137
"3",1995,"631",-0.00518694452038766,0.021240924149573,0.0837433682634949,0.0889303127838826,0,0.0625024441139219,-1.17855959158638,-0.375794604405664,-0.708175838368546,0.203681436099713,-0.905027233327053,10875.7181096516,"1",1994,0,1995.1,1995.9,1,"297","298",0.278399528242174,0.154445427021912,-0.483065508002836,NA,NA,"0",1.26610376400161,-2.4199022183848,-2.77254961718164,-0.157405392468126,0.616568823335243,-1.04446578785628,-0.939199171275646
"4",1995,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.623312868113173,0.628859201249281,-0.749818056478648,0.203681436099713,0.552847093933594,14812.2455905512,"0",1994,0,1995.1,1995.9,1,"64","178",0.822156860506563,0.159214802864864,-0.19205603119725,NA,NA,"0",-0.979401122759617,-3.16824941367568,-2.6336459140346,-0.0669974220871298,-1.38877032459576,-1.04446578785628,-1.12732827703137
"5",1995,"929",0.00723249842791247,-0.00722793763477374,0.0414373503007668,0.0342048518728543,0,0.0486652879355406,-0.598592617202176,-0.0970796217721856,-0.298007662033153,-0.371431751799911,0.69419494110674,10644.0812583286,"1",1994,0,1995.1,1995.9,1,"199","609",1.10807132775836,-1.50310293219137,-0.600462862078055,NA,NA,"0",-0.965770586775666,-3.37538777734852,-3.02278927643485,0.405268530091451,-0.457021981390534,-1.22115928915858,-1.11004245605558
"6",1995,"937",0.155775468976805,0.103890215263556,0.205579091778531,0.0498036228017265,0,0.101688876514975,-0.177211837824604,0.897480827314441,-0.492357071103749,-0.371431751799911,0.539441040096184,17276.4077385798,"0",1994,0,1995.1,1995.9,1,"677","673",-1.40485691714217,-1.50882618320297,-1.66148393743936,NA,NA,"0",4.11496836518076,-2.99966755057485,-2.28583735737686,3.14352551661486,1.59075865247196,-1.22115928915858,-1.21465005940612
"7",1995,"938",0.0255971994713971,0.0246789098913209,0.0763970455133171,0.05079984604192,0,0.0517181356219961,-0.435747846070261,0.281412302160256,-0.0875467001704564,-0.371431751799911,-0.89190787607057,10218.1173719975,"0",1994,0,1995.1,1995.9,1,"163","510",0.618613598489695,-1.49642580601126,-0.70400262201967,NA,NA,"0",0.974855235983594,-2.97986195507316,-2.96194677325342,0.888256535089348,0.847668504306522,-1.22115928915858,-1.16027576123946
"8",1996,"526",0.0148468571274348,0.0046904992851919,0.0765066481235143,0.0616597909960794,0,0.0718161488383224,-0.623312868113173,-0.357324301985704,2.15154213215468,0.203681436099713,-0.905027233327053,17752.9088798701,"1",1994,1,1996.1,1996.9,2,"528","178",-1.42773007452224,0.154445427021912,-1.66148393743936,NA,NA,"0",0.979402945824968,-2.78612324614909,-2.6336459140346,0.458720067034128,0.0735788728880859,-1.04446578785628,-1.12337929408137
"9",1996,"527",0.0148567454646017,-0.0148822101475249,0.0569339386907975,0.0420771932261958,0,0.0718161488383224,-0.623312868113173,0.628859201249281,-0.790831052131384,0.203681436099713,-0.905027233327053,14812.2455905512,"0",1994,1,1996.1,1996.9,2,"64","178",0.81695841564743,0.154445427021912,-0.19205603119725,NA,NA,"0",0.0420639429384943,-3.16824941367568,-2.6336459140346,0.652241229303578,-0.626193483431251,-1.04446578785628,-1.12732827703137
"10",1996,"631",-0.00518694452038766,0.021240924149573,0.0837433682634949,0.0889303127838826,0,0.0625024441139219,-1.17855959158638,-0.375794604405664,-0.708175838368546,0.203681436099713,-0.905027233327053,10875.7181096516,"1",1994,1,1996.1,1996.9,2,"297","298",0.278399528242174,0.154445427021912,-0.483065508002836,NA,NA,"0",1.26610376400161,-2.4199022183848,-2.77254961718164,-0.157405392468126,0.616568823335243,-1.04446578785628,-0.939199171275646
"11",1996,"885",-0.0164179969049993,-0.0114678287249887,0.0615857338573908,0.0780037307623901,0,0.0730535625823794,-0.0676589376447112,0.981268832048586,0.0679633113879923,-0.221524051178088,-1.2558285073228,11145.6144265464,"0",1995,0,1996.1,1996.9,1,"172","1861",0.550798038860275,-1.41725416701845,-0.402796047644061,59399.30612,59399.30612,"0",0.291203708468606,-2.55099862314932,-2.61656237287974,-0.551036946579879,-0.480655059634188,-2.20795549041332,-1.11386276365492
"12",1996,"889",-0.00339894254207872,0.0274490433892949,0.0761143313248355,0.0795132738669142,2,0.0486652879355406,-0.598592617202176,0.358446531718606,1.93520853138436,-0.221524051178088,-0.0929384651014651,10597.5396302521,"1",1995,0,1996.1,1996.9,1,"442","609",-0.600552392266399,-1.09198273452969,-1.04390587435327,32144.08743,32144.08743,"1",0.963094469871485,-2.53183130437984,-3.02278927643485,-0.120754655618904,0.982976185287147,-1.7975490213479,-1.28022142361526
"13",1996,"912",-0.000817512242067657,-0.0305564678541943,0.0412596809841281,0.0420771932261958,0,0.0718161488383224,-0.623312868113173,0.628859201249281,-0.749818056478648,0.203681436099713,0.552847093933594,14812.2455905512,"0",1994,0,1996.1,1996.9,2,"64","178",0.822156860506563,0.159214802864864,-0.19205603119725,24390.5184,24390.5184,"0",-0.979401122759617,-3.16824941367568,-2.6336459140346,-0.0669974220871298,-1.38877032459576,-1.04446578785628,-1.12732827703137
